driverId,week,hours-logged,miles-logged
15,15,69,2500
34,19,61,1700
33,34,80,200
45,20,79,3700
83,31,76,1900
105,4,58,2700
13,47,80,100
46,18,50,2900
77,43,55,3000
63,15,53,2000
24,36,66,1700
78,19,64,500
98,51,61,1000
55,48,55,2800
90,47,63,1500
97,27,66,100
11,15,65,2700
33,38,78,1600
33,9,61,300
75,6,80,3700
73,33,76,900
48,13,68,3100
47,23,53,2200
40,22,65,1800
70,10,77,1300
96,36,68,2000
31,36,50,1200
23,45,69,1400
54,22,75,2000
97,29,68,2600
73,49,68,3300
72,13,59,2400
36,42,57,100
66,4,70,600
35,50,63,1600
57,19,79,3200
46,24,79,2400
56,14,70,1300
101,27,64,3700
84,18,64,3900
28,31,77,1000
24,32,57,3200
91,11,70,1400
61,49,68,2100
40,21,56,200
46,24,55,2400
17,50,55,300
46,7,64,2000
69,42,66,1600
69,5,77,3300
40,38,74,2600
79,31,57,3600
20,25,59,2700
16,10,72,1400
98,46,72,2800
70,38,78,1000
106,12,58,900
93,2,70,2500
20,33,52,3800
15,39,56,3500
12,32,61,2700
36,18,51,2500
32,34,65,4000
57,35,72,3700
56,17,79,3700
38,7,74,1200
52,31,58,1400
31,17,68,1200
24,1,60,3800
90,1,66,3500
27,20,69,4000
77,41,63,1500
95,28,78,1100
94,40,58,3900
32,3,73,3500
44,3,52,3800
97,47,75,2100
68,7,53,3900
107,26,75,3000
94,24,68,3700
66,52,64,1500
84,14,52,600
56,21,69,500
25,11,68,1600
26,51,67,600
46,18,57,3400
74,4,50,800
46,31,66,2200
78,32,79,3800
102,45,80,1700
15,21,62,1900
90,32,51,2600
41,30,79,2600
84,3,54,2500
54,27,53,3400
24,23,61,2400
77,21,54,4000
104,29,79,800
87,47,66,500
98,19,60,2300
53,19,54,3400
11,11,60,1200
106,6,51,800
71,48,65,200
104,6,76,0
21,34,55,3200
53,26,54,500
101,35,62,2900
94,31,67,1400
30,46,57,1600
30,18,56,3500
101,14,79,3300
25,46,64,1300
71,1,51,800
42,20,71,1400
79,36,79,300
46,37,61,3700
42,49,79,1100
20,19,71,3500
15,46,66,600
49,32,68,3500
25,50,71,2500
85,24,71,100
44,9,50,3500
61,41,50,1700
99,2,79,500
53,33,51,2600
34,14,66,2000
83,10,62,2800
45,11,75,900
84,23,66,2100
45,33,70,2100
76,13,71,1700
50,24,53,700
66,21,79,4000
16,9,71,2600
10,45,57,1500
76,4,74,1900
12,8,53,3400
28,22,79,2700
64,33,68,100
41,3,63,1900
25,24,78,3900
12,9,55,4000
98,21,60,900
93,7,59,100
107,23,68,2300
29,19,77,2700
47,31,53,3900
63,43,62,2200
35,16,79,1900
73,36,71,2600
21,36,68,3600
77,45,66,500
96,21,77,2100
106,20,71,2900
87,18,52,1700
35,50,63,2100
91,7,66,1700
76,9,79,200
23,1,78,0
51,6,50,400
48,35,55,2800
27,19,61,700
89,37,79,2800
69,11,50,2300
83,37,58,4000
73,16,61,1600
32,14,61,1300
17,13,50,2700
63,50,67,2000
15,31,77,1900
14,20,76,1900
58,12,52,1800
41,29,60,3000
65,4,62,2300
69,26,73,2200
53,15,59,1800
86,37,55,1500
49,7,62,1300
78,6,74,2300
56,47,69,3900
69,22,68,2700
70,51,51,2800
109,46,76,3700
10,42,71,2000
43,1,63,3900
65,7,67,3000
84,45,76,1600
22,28,74,1600
71,52,79,1500
105,37,73,3400
51,10,61,2900
35,23,52,1700
46,10,64,1800
40,5,54,2600
20,2,75,600
12,31,77,2700
26,52,54,3500
90,7,60,0
59,11,70,900
18,19,50,2700
14,27,65,3800
97,26,57,700
20,41,77,1800
43,12,50,1500
52,22,67,1500
54,26,74,600
87,3,69,3800
88,2,78,1000
38,21,60,1000
39,22,57,1800
10,2,71,3000
19,4,60,4000
93,42,58,3000
70,18,57,2700
62,48,70,1600
107,44,60,2800
31,26,66,1600
106,31,75,0
38,39,76,3800
92,38,68,1000
96,28,80,500
94,51,75,1700
72,22,59,800
86,19,59,2000
48,27,70,900
32,4,72,400
59,41,72,2100
80,4,52,3800
77,37,69,600
61,17,68,500
82,35,79,3800
100,41,59,3000
67,44,65,2900
76,2,51,1500
12,19,80,3800
96,10,79,400
20,28,74,1200
65,52,76,1700
101,42,75,1200
38,29,79,1000
98,28,76,2900
17,21,79,2600
86,20,54,1500
46,20,76,3700
88,41,53,2000
94,20,54,2300
73,48,67,1300
69,19,55,4000
101,33,59,3400
83,10,50,3700
63,45,80,2400
83,51,62,0
12,14,64,300
29,49,54,700
10,41,65,900
85,32,51,600
72,11,67,2600
20,24,61,3800
54,29,50,3600
34,19,64,2000
20,34,78,2500
69,31,67,2100
103,48,60,1000
60,41,73,3000
62,2,57,2700
17,49,50,1600
90,28,74,2300
59,17,61,3500
75,23,71,2600
105,19,75,2200
71,34,63,3700
72,49,66,100
106,38,67,0
87,12,61,2900
64,50,59,2000
92,22,61,1700
95,16,50,2200
11,33,75,2900
52,42,72,1700
43,49,74,1100
90,20,68,800
90,13,61,900
78,44,53,700
46,12,54,1100
37,11,52,2400
26,21,70,2300
100,2,72,3600
62,28,53,1700
48,40,52,2800
37,14,69,1500
23,38,55,3200
34,41,51,3000
75,25,52,2100
77,5,62,300
85,49,80,2200
83,6,60,2200
89,37,71,2200
20,25,59,0
49,7,66,3100
95,11,61,3300
41,48,68,0
68,5,70,1600
66,17,73,3900
70,9,71,1200
94,9,56,1000
44,50,76,0
40,10,53,2000
96,9,80,1600
